c,firm,price
0,1,1.7912
0,2,1.79417
0.00505051,1,1.79371
0.00505051,2,1.79321
0.010101,1,1.7941
0.010101,2,1.7969
0.0151515,1,1.79395
0.0151515,2,1.79093
0.020202,1,1.78837
0.020202,2,1.78849
0.0252525,1,1.79195
0.0252525,2,1.79287
0.030303,1,1.791
0.030303,2,1.78836
0.0353535,1,1.78965
0.0353535,2,1.79449
0.040404,1,1.79084
0.040404,2,1.78553
0.0454545,1,1.78322
0.0454545,2,1.77876
0.0505051,1,1.78507
0.0505051,2,1.78119
0.0555556,1,1.78728
0.0555556,2,1.7819
0.0606061,1,1.78265
0.0606061,2,1.78377
0.0656566,1,1.78057
0.0656566,2,1.77474
0.0707071,1,1.77605
0.0707071,2,1.77266
0.0757576,1,1.7825
0.0757576,2,1.78251
0.0808081,1,1.77426
0.0808081,2,1.77848
0.0858586,1,1.77468
0.0858586,2,1.77277
0.0909091,1,1.77311
0.0909091,2,1.771
0.0959596,1,1.76891
0.0959596,2,1.76618
0.10101,1,1.76991
0.10101,2,1.76909
0.106061,1,1.76292
0.106061,2,1.76261
0.111111,1,1.76056
0.111111,2,1.76053
0.116162,1,1.7633
0.116162,2,1.7634
0.121212,1,1.75208
0.121212,2,1.7574
0.126263,1,1.75598
0.126263,2,1.75523
0.131313,1,1.74822
0.131313,2,1.75003
0.136364,1,1.74463
0.136364,2,1.7496
0.141414,1,1.75505
0.141414,2,1.75103
0.146465,1,1.74142
0.146465,2,1.7485
0.151515,1,1.74175
0.151515,2,1.73875
0.156566,1,1.7353
0.156566,2,1.7373
0.161616,1,1.73783
0.161616,2,1.74245
0.166667,1,1.73312
0.166667,2,1.7348
0.171717,1,1.73309
0.171717,2,1.73309
0.176768,1,1.7278
0.176768,2,1.72782
0.181818,1,1.72407
0.181818,2,1.72894
0.186869,1,1.72696
0.186869,2,1.72665
0.191919,1,1.73046
0.191919,2,1.72708
0.19697,1,1.72741
0.19697,2,1.72989
0.20202,1,1.72169
0.20202,2,1.72131
0.207071,1,1.72295
0.207071,2,1.72376
0.212121,1,1.7152
0.212121,2,1.71515
0.217172,1,1.71496
0.217172,2,1.72371
0.222222,1,1.71726
0.222222,2,1.71565
0.227273,1,1.71437
0.227273,2,1.7118
0.232323,1,1.71342
0.232323,2,1.71666
0.237374,1,1.71446
0.237374,2,1.71737
0.242424,1,1.71528
0.242424,2,1.71253
0.247475,1,1.70731
0.247475,2,1.71261
0.252525,1,1.71272
0.252525,2,1.71152
0.257576,1,1.70967
0.257576,2,1.70872
0.262626,1,1.71213
0.262626,2,1.71345
0.267677,1,1.70602
0.267677,2,1.70808
0.272727,1,1.71169
0.272727,2,1.70785
0.277778,1,1.70717
0.277778,2,1.70724
0.282828,1,1.70336
0.282828,2,1.71084
0.287879,1,1.70662
0.287879,2,1.70676
0.292929,1,1.70632
0.292929,2,1.70657
0.29798,1,1.70413
0.29798,2,1.70405
0.30303,1,1.70756
0.30303,2,1.7062
0.308081,1,1.70408
0.308081,2,1.70281
0.313131,1,1.70553
0.313131,2,1.70604
0.318182,1,1.70048
0.318182,2,1.70442
0.323232,1,1.69953
0.323232,2,1.70043
0.328283,1,1.70259
0.328283,2,1.70126
0.333333,1,1.69619
0.333333,2,1.69887
0.338384,1,1.69668
0.338384,2,1.70086
0.343434,1,1.69668
0.343434,2,1.69745
0.348485,1,1.6885
0.348485,2,1.69114
0.353535,1,1.69538
0.353535,2,1.69429
0.358586,1,1.69144
0.358586,2,1.6887
0.363636,1,1.68719
0.363636,2,1.6887
0.368687,1,1.68725
0.368687,2,1.68609
0.373737,1,1.68769
0.373737,2,1.69035
0.378788,1,1.67653
0.378788,2,1.67843
0.383838,1,1.68084
0.383838,2,1.68044
0.388889,1,1.67041
0.388889,2,1.67235
0.393939,1,1.67925
0.393939,2,1.67887
0.39899,1,1.67074
0.39899,2,1.66953
0.40404,1,1.66436
0.40404,2,1.66316
0.409091,1,1.66902
0.409091,2,1.66804
0.414141,1,1.66243
0.414141,2,1.66339
0.419192,1,1.6605
0.419192,2,1.66311
0.424242,1,1.65229
0.424242,2,1.65473
0.429293,1,1.65836
0.429293,2,1.65874
0.434343,1,1.65598
0.434343,2,1.65867
0.439394,1,1.64689
0.439394,2,1.64796
0.444444,1,1.65008
0.444444,2,1.65229
0.449495,1,1.64944
0.449495,2,1.65058
0.454545,1,1.64671
0.454545,2,1.64801
0.459596,1,1.64466
0.459596,2,1.64438
0.464646,1,1.64194
0.464646,2,1.63688
0.469697,1,1.63689
0.469697,2,1.64269
0.474747,1,1.64106
0.474747,2,1.63901
0.479798,1,1.6385
0.479798,2,1.63992
0.484848,1,1.63537
0.484848,2,1.63358
0.489899,1,1.63249
0.489899,2,1.63565
0.494949,1,1.63048
0.494949,2,1.63049
0.5,1,1.63197
0.5,2,1.63109
