a,firm,price
1,1,1.77999
1,2,1.3134
1.0101,1,1.77646
1.0101,2,1.31121
1.0202,1,1.78197
1.0202,2,1.3155
1.0303,1,1.78058
1.0303,2,1.31573
1.0404,1,1.77779
1.0404,2,1.31618
1.05051,1,1.78163
1.05051,2,1.31796
1.06061,1,1.78048
1.06061,2,1.31694
1.07071,1,1.77932
1.07071,2,1.31598
1.08081,1,1.77708
1.08081,2,1.31765
1.09091,1,1.77956
1.09091,2,1.31983
1.10101,1,1.7793
1.10101,2,1.31775
1.11111,1,1.77902
1.11111,2,1.32073
1.12121,1,1.78094
1.12121,2,1.31869
1.13131,1,1.78193
1.13131,2,1.3235
1.14141,1,1.77827
1.14141,2,1.32472
1.15152,1,1.78154
1.15152,2,1.32367
1.16162,1,1.77827
1.16162,2,1.3267
1.17172,1,1.78167
1.17172,2,1.33162
1.18182,1,1.77767
1.18182,2,1.33524
1.19192,1,1.77677
1.19192,2,1.33536
1.20202,1,1.7763
1.20202,2,1.33522
1.21212,1,1.77364
1.21212,2,1.34278
1.22222,1,1.77072
1.22222,2,1.345
1.23232,1,1.77219
1.23232,2,1.33862
1.24242,1,1.77001
1.24242,2,1.35478
1.25253,1,1.7679
1.25253,2,1.35126
1.26263,1,1.76945
1.26263,2,1.3612
1.27273,1,1.76653
1.27273,2,1.35851
1.28283,1,1.76457
1.28283,2,1.35544
1.29293,1,1.76676
1.29293,2,1.36483
1.30303,1,1.76793
1.30303,2,1.36512
1.31313,1,1.7639
1.31313,2,1.36901
1.32323,1,1.76624
1.32323,2,1.36855
1.33333,1,1.76446
1.33333,2,1.36352
1.34343,1,1.77163
1.34343,2,1.37562
1.35354,1,1.76934
1.35354,2,1.37577
1.36364,1,1.76951
1.36364,2,1.37539
1.37374,1,1.76877
1.37374,2,1.37503
1.38384,1,1.77232
1.38384,2,1.38439
1.39394,1,1.7677
1.39394,2,1.38338
1.40404,1,1.76516
1.40404,2,1.37793
1.41414,1,1.77686
1.41414,2,1.3908
1.42424,1,1.77271
1.42424,2,1.38792
1.43434,1,1.7697
1.43434,2,1.3917
1.44444,1,1.77314
1.44444,2,1.39699
1.45455,1,1.76848
1.45455,2,1.39436
1.46465,1,1.76804
1.46465,2,1.39876
1.47475,1,1.76919
1.47475,2,1.39753
1.48485,1,1.75747
1.48485,2,1.40261
1.49495,1,1.76575
1.49495,2,1.40187
1.50505,1,1.76349
1.50505,2,1.4054
1.51515,1,1.75408
1.51515,2,1.4045
1.52525,1,1.75888
1.52525,2,1.40609
1.53535,1,1.75579
1.53535,2,1.41038
1.54545,1,1.75385
1.54545,2,1.41888
1.55556,1,1.74987
1.55556,2,1.42125
1.56566,1,1.75744
1.56566,2,1.42425
1.57576,1,1.75418
1.57576,2,1.42927
1.58586,1,1.7477
1.58586,2,1.42837
1.59596,1,1.75852
1.59596,2,1.43734
1.60606,1,1.74809
1.60606,2,1.4335
1.61616,1,1.75289
1.61616,2,1.44192
1.62626,1,1.75439
1.62626,2,1.44445
1.63636,1,1.75363
1.63636,2,1.44579
1.64646,1,1.75898
1.64646,2,1.45573
1.65657,1,1.76229
1.65657,2,1.46911
1.66667,1,1.76763
1.66667,2,1.46758
1.67677,1,1.7663
1.67677,2,1.4694
1.68687,1,1.76023
1.68687,2,1.46752
1.69697,1,1.75867
1.69697,2,1.47366
1.70707,1,1.75323
1.70707,2,1.4794
1.71717,1,1.74556
1.71717,2,1.47979
1.72727,1,1.75636
1.72727,2,1.4852
1.73737,1,1.7528
1.73737,2,1.49259
1.74747,1,1.74058
1.74747,2,1.4843
1.75758,1,1.74445
1.75758,2,1.49652
1.76768,1,1.73831
1.76768,2,1.48749
1.77778,1,1.73383
1.77778,2,1.49375
1.78788,1,1.73892
1.78788,2,1.50241
1.79798,1,1.73909
1.79798,2,1.4962
1.80808,1,1.73975
1.80808,2,1.50853
1.81818,1,1.74245
1.81818,2,1.51585
1.82828,1,1.7405
1.82828,2,1.51529
1.83838,1,1.73802
1.83838,2,1.52806
1.84848,1,1.74556
1.84848,2,1.53263
1.85859,1,1.7469
1.85859,2,1.53825
1.86869,1,1.74174
1.86869,2,1.54285
1.87879,1,1.7472
1.87879,2,1.55373
1.88889,1,1.75117
1.88889,2,1.55525
1.89899,1,1.74434
1.89899,2,1.55842
1.90909,1,1.73965
1.90909,2,1.56435
1.91919,1,1.74561
1.91919,2,1.56919
1.92929,1,1.73267
1.92929,2,1.56609
1.93939,1,1.73731
1.93939,2,1.56882
1.94949,1,1.73775
1.94949,2,1.57471
1.9596,1,1.73316
1.9596,2,1.58095
1.9697,1,1.72675
1.9697,2,1.57779
1.9798,1,1.73022
1.9798,2,1.58534
1.9899,1,1.73885
1.9899,2,1.59261
2,1,1.73679
2,2,1.59585
