omega,a,firm,price
0,1,1,1.72348
0,1,2,1.72013
0,1.0101,1,1.72858
0,1.0101,2,1.71382
0,1.0202,1,1.72264
0,1.0202,2,1.72127
0,1.0303,1,1.72137
0,1.0303,2,1.70963
0,1.0404,1,1.70685
0,1.0404,2,1.72395
0,1.05051,1,1.71763
0,1.05051,2,1.7273
0,1.06061,1,1.71916
0,1.06061,2,1.72044
0,1.07071,1,1.72612
0,1.07071,2,1.71919
0,1.08081,1,1.71876
0,1.08081,2,1.71813
0,1.09091,1,1.7261
0,1.09091,2,1.71393
0,1.10101,1,1.72103
0,1.10101,2,1.72434
0,1.11111,1,1.72192
0,1.11111,2,1.71601
0,1.12121,1,1.72129
0,1.12121,2,1.71458
0,1.13131,1,1.7248
0,1.13131,2,1.71568
0,1.14141,1,1.71736
0,1.14141,2,1.71085
0,1.15152,1,1.71179
0,1.15152,2,1.71685
0,1.16162,1,1.71342
0,1.16162,2,1.72094
0,1.17172,1,1.71273
0,1.17172,2,1.71708
0,1.18182,1,1.72183
0,1.18182,2,1.71706
0,1.19192,1,1.71729
0,1.19192,2,1.71528
0,1.20202,1,1.7251
0,1.20202,2,1.7131
0,1.21212,1,1.71879
0,1.21212,2,1.70954
0,1.22222,1,1.71427
0,1.22222,2,1.7122
0,1.23232,1,1.71836
0,1.23232,2,1.71668
0,1.24242,1,1.70716
0,1.24242,2,1.71312
0,1.25253,1,1.7112
0,1.25253,2,1.71159
0,1.26263,1,1.70586
0,1.26263,2,1.71112
0,1.27273,1,1.70892
0,1.27273,2,1.71116
0,1.28283,1,1.71325
0,1.28283,2,1.72138
0,1.29293,1,1.71297
0,1.29293,2,1.71798
0,1.30303,1,1.71421
0,1.30303,2,1.70538
0,1.31313,1,1.70811
0,1.31313,2,1.70823
0,1.32323,1,1.70864
0,1.32323,2,1.70916
0,1.33333,1,1.70878
0,1.33333,2,1.70513
0,1.34343,1,1.70724
0,1.34343,2,1.70778
0,1.35354,1,1.71232
0,1.35354,2,1.69897
0,1.36364,1,1.71271
0,1.36364,2,1.70326
0,1.37374,1,1.7005
0,1.37374,2,1.70173
0,1.38384,1,1.70545
0,1.38384,2,1.70408
0,1.39394,1,1.71162
0,1.39394,2,1.699
0,1.40404,1,1.70446
0,1.40404,2,1.70502
0,1.41414,1,1.70846
0,1.41414,2,1.70352
0,1.42424,1,1.6985
0,1.42424,2,1.70833
0,1.43434,1,1.70756
0,1.43434,2,1.70228
0,1.44444,1,1.70066
0,1.44444,2,1.6956
0,1.45455,1,1.69469
0,1.45455,2,1.70102
0,1.46465,1,1.70126
0,1.46465,2,1.69299
0,1.47475,1,1.69363
0,1.47475,2,1.69639
0,1.48485,1,1.69636
0,1.48485,2,1.70053
0,1.49495,1,1.68111
0,1.49495,2,1.70591
0,1.50505,1,1.70184
0,1.50505,2,1.69519
0,1.51515,1,1.70359
0,1.51515,2,1.69332
0,1.52525,1,1.68918
0,1.52525,2,1.69754
0,1.53535,1,1.69001
0,1.53535,2,1.70482
0,1.54545,1,1.69464
0,1.54545,2,1.68982
0,1.55556,1,1.68932
0,1.55556,2,1.69043
0,1.56566,1,1.69458
0,1.56566,2,1.68393
0,1.57576,1,1.6901
0,1.57576,2,1.68532
0,1.58586,1,1.69294
0,1.58586,2,1.69495
0,1.59596,1,1.68445
0,1.59596,2,1.68624
0,1.60606,1,1.69536
0,1.60606,2,1.67744
0,1.61616,1,1.68837
0,1.61616,2,1.68528
0,1.62626,1,1.68313
0,1.62626,2,1.6857
0,1.63636,1,1.67628
0,1.63636,2,1.68517
0,1.64646,1,1.68244
0,1.64646,2,1.68743
0,1.65657,1,1.68403
0,1.65657,2,1.67911
0,1.66667,1,1.68642
0,1.66667,2,1.68226
0,1.67677,1,1.67947
0,1.67677,2,1.68413
0,1.68687,1,1.68611
0,1.68687,2,1.67511
0,1.69697,1,1.67934
0,1.69697,2,1.68297
0,1.70707,1,1.68927
0,1.70707,2,1.67077
0,1.71717,1,1.68477
0,1.71717,2,1.67832
0,1.72727,1,1.67944
0,1.72727,2,1.68535
0,1.73737,1,1.68024
0,1.73737,2,1.67513
0,1.74747,1,1.6846
0,1.74747,2,1.68536
0,1.75758,1,1.68817
0,1.75758,2,1.66795
0,1.76768,1,1.67762
0,1.76768,2,1.68181
0,1.77778,1,1.66941
0,1.77778,2,1.68742
0,1.78788,1,1.67754
0,1.78788,2,1.67499
0,1.79798,1,1.67385
0,1.79798,2,1.68002
0,1.80808,1,1.67029
0,1.80808,2,1.6814
0,1.81818,1,1.67805
0,1.81818,2,1.67411
0,1.82828,1,1.68111
0,1.82828,2,1.67203
0,1.83838,1,1.67522
0,1.83838,2,1.68029
0,1.84848,1,1.685
0,1.84848,2,1.67753
0,1.85859,1,1.6656
0,1.85859,2,1.67682
0,1.86869,1,1.67967
0,1.86869,2,1.67545
0,1.87879,1,1.68702
0,1.87879,2,1.66523
0,1.88889,1,1.68025
0,1.88889,2,1.69495
0,1.89899,1,1.67947
0,1.89899,2,1.67596
0,1.90909,1,1.68398
0,1.90909,2,1.67
0,1.91919,1,1.67238
0,1.91919,2,1.67328
0,1.92929,1,1.67244
0,1.92929,2,1.67975
0,1.93939,1,1.68897
0,1.93939,2,1.67596
0,1.94949,1,1.68507
0,1.94949,2,1.68379
0,1.9596,1,1.67208
0,1.9596,2,1.68427
0,1.9697,1,1.67748
0,1.9697,2,1.67642
0,1.9798,1,1.68218
0,1.9798,2,1.69029
0,1.9899,1,1.68886
0,1.9899,2,1.67445
0,2,1,1.68597
0,2,2,1.68477
0.8,1,1,1.78086
0.8,1,2,1.79462
0.8,1.0101,1,1.7868
0.8,1.0101,2,1.7802
0.8,1.0202,1,1.78516
0.8,1.0202,2,1.77224
0.8,1.0303,1,1.78422
0.8,1.0303,2,1.77807
0.8,1.0404,1,1.7788
0.8,1.0404,2,1.78346
0.8,1.05051,1,1.78755
0.8,1.05051,2,1.78487
0.8,1.06061,1,1.78364
0.8,1.06061,2,1.78295
0.8,1.07071,1,1.78002
0.8,1.07071,2,1.7832
0.8,1.08081,1,1.77183
0.8,1.08081,2,1.78162
0.8,1.09091,1,1.78059
0.8,1.09091,2,1.78359
0.8,1.10101,1,1.7801
0.8,1.10101,2,1.77554
0.8,1.11111,1,1.77935
0.8,1.11111,2,1.77652
0.8,1.12121,1,1.78064
0.8,1.12121,2,1.77395
0.8,1.13131,1,1.77548
0.8,1.13131,2,1.781
0.8,1.14141,1,1.78083
0.8,1.14141,2,1.77553
0.8,1.15152,1,1.78059
0.8,1.15152,2,1.77493
0.8,1.16162,1,1.77431
0.8,1.16162,2,1.77863
0.8,1.17172,1,1.77279
0.8,1.17172,2,1.77244
0.8,1.18182,1,1.77215
0.8,1.18182,2,1.78037
0.8,1.19192,1,1.77403
0.8,1.19192,2,1.76888
0.8,1.20202,1,1.7733
0.8,1.20202,2,1.77998
0.8,1.21212,1,1.76387
0.8,1.21212,2,1.7775
0.8,1.22222,1,1.77313
0.8,1.22222,2,1.76502
0.8,1.23232,1,1.77338
0.8,1.23232,2,1.77085
0.8,1.24242,1,1.76065
0.8,1.24242,2,1.77199
0.8,1.25253,1,1.76779
0.8,1.25253,2,1.77781
0.8,1.26263,1,1.76794
0.8,1.26263,2,1.77518
0.8,1.27273,1,1.76234
0.8,1.27273,2,1.76541
0.8,1.28283,1,1.76762
0.8,1.28283,2,1.77386
0.8,1.29293,1,1.76527
0.8,1.29293,2,1.76624
0.8,1.30303,1,1.77174
0.8,1.30303,2,1.77005
0.8,1.31313,1,1.76545
0.8,1.31313,2,1.76293
0.8,1.32323,1,1.76274
0.8,1.32323,2,1.76693
0.8,1.33333,1,1.76947
0.8,1.33333,2,1.76096
0.8,1.34343,1,1.75733
0.8,1.34343,2,1.7614
0.8,1.35354,1,1.76678
0.8,1.35354,2,1.75556
0.8,1.36364,1,1.76243
0.8,1.36364,2,1.76244
0.8,1.37374,1,1.76461
0.8,1.37374,2,1.76318
0.8,1.38384,1,1.74675
0.8,1.38384,2,1.75753
0.8,1.39394,1,1.76037
0.8,1.39394,2,1.76121
0.8,1.40404,1,1.75781
0.8,1.40404,2,1.74707
0.8,1.41414,1,1.74806
0.8,1.41414,2,1.75744
0.8,1.42424,1,1.755
0.8,1.42424,2,1.74385
0.8,1.43434,1,1.74491
0.8,1.43434,2,1.75001
0.8,1.44444,1,1.74914
0.8,1.44444,2,1.7453
0.8,1.45455,1,1.73258
0.8,1.45455,2,1.74354
0.8,1.46465,1,1.74501
0.8,1.46465,2,1.74681
0.8,1.47475,1,1.73986
0.8,1.47475,2,1.73766
0.8,1.48485,1,1.73609
0.8,1.48485,2,1.73152
0.8,1.49495,1,1.72935
0.8,1.49495,2,1.73197
0.8,1.50505,1,1.73721
0.8,1.50505,2,1.72973
0.8,1.51515,1,1.73045
0.8,1.51515,2,1.73363
0.8,1.52525,1,1.71506
0.8,1.52525,2,1.73897
0.8,1.53535,1,1.71941
0.8,1.53535,2,1.73291
0.8,1.54545,1,1.71978
0.8,1.54545,2,1.71584
0.8,1.55556,1,1.72341
0.8,1.55556,2,1.71479
0.8,1.56566,1,1.71827
0.8,1.56566,2,1.70975
0.8,1.57576,1,1.71085
0.8,1.57576,2,1.72343
0.8,1.58586,1,1.71363
0.8,1.58586,2,1.71127
0.8,1.59596,1,1.71131
0.8,1.59596,2,1.71329
0.8,1.60606,1,1.7153
0.8,1.60606,2,1.7021
0.8,1.61616,1,1.71362
0.8,1.61616,2,1.70148
0.8,1.62626,1,1.70627
0.8,1.62626,2,1.71774
0.8,1.63636,1,1.71432
0.8,1.63636,2,1.69832
0.8,1.64646,1,1.70485
0.8,1.64646,2,1.7169
0.8,1.65657,1,1.69913
0.8,1.65657,2,1.70748
0.8,1.66667,1,1.70191
0.8,1.66667,2,1.70015
0.8,1.67677,1,1.69563
0.8,1.67677,2,1.6992
0.8,1.68687,1,1.70932
0.8,1.68687,2,1.70044
0.8,1.69697,1,1.69206
0.8,1.69697,2,1.71031
0.8,1.70707,1,1.69108
0.8,1.70707,2,1.70794
0.8,1.71717,1,1.70592
0.8,1.71717,2,1.69511
0.8,1.72727,1,1.69537
0.8,1.72727,2,1.70275
0.8,1.73737,1,1.70415
0.8,1.73737,2,1.69187
0.8,1.74747,1,1.70238
0.8,1.74747,2,1.69629
0.8,1.75758,1,1.69724
0.8,1.75758,2,1.70022
0.8,1.76768,1,1.68922
0.8,1.76768,2,1.70932
0.8,1.77778,1,1.69625
0.8,1.77778,2,1.69089
0.8,1.78788,1,1.69151
0.8,1.78788,2,1.68941
0.8,1.79798,1,1.69152
0.8,1.79798,2,1.69951
0.8,1.80808,1,1.68794
0.8,1.80808,2,1.69907
0.8,1.81818,1,1.68839
0.8,1.81818,2,1.69609
0.8,1.82828,1,1.69936
0.8,1.82828,2,1.68469
0.8,1.83838,1,1.68543
0.8,1.83838,2,1.69592
0.8,1.84848,1,1.69251
0.8,1.84848,2,1.69071
0.8,1.85859,1,1.69812
0.8,1.85859,2,1.68592
0.8,1.86869,1,1.69094
0.8,1.86869,2,1.68944
0.8,1.87879,1,1.69002
0.8,1.87879,2,1.68563
0.8,1.88889,1,1.68803
0.8,1.88889,2,1.69101
0.8,1.89899,1,1.68815
0.8,1.89899,2,1.69698
0.8,1.90909,1,1.69526
0.8,1.90909,2,1.6878
0.8,1.91919,1,1.70164
0.8,1.91919,2,1.69159
0.8,1.92929,1,1.69037
0.8,1.92929,2,1.69332
0.8,1.93939,1,1.68612
0.8,1.93939,2,1.69854
0.8,1.94949,1,1.69444
0.8,1.94949,2,1.68522
0.8,1.9596,1,1.68431
0.8,1.9596,2,1.70374
0.8,1.9697,1,1.69755
0.8,1.9697,2,1.68753
0.8,1.9798,1,1.69222
0.8,1.9798,2,1.69486
0.8,1.9899,1,1.69428
0.8,1.9899,2,1.68667
0.8,2,1,1.69257
0.8,2,2,1.69295
1,1,1,1.811
1,1,2,1.7889
1,1.0101,1,1.79725
1,1.0101,2,1.80684
1,1.0202,1,1.79887
1,1.0202,2,1.79904
1,1.0303,1,1.79903
1,1.0303,2,1.80052
1,1.0404,1,1.79501
1,1.0404,2,1.79882
1,1.05051,1,1.79895
1,1.05051,2,1.80103
1,1.06061,1,1.7994
1,1.06061,2,1.79592
1,1.07071,1,1.79723
1,1.07071,2,1.79606
1,1.08081,1,1.79767
1,1.08081,2,1.79289
1,1.09091,1,1.79224
1,1.09091,2,1.79253
1,1.10101,1,1.78783
1,1.10101,2,1.78983
1,1.11111,1,1.79804
1,1.11111,2,1.79401
1,1.12121,1,1.78926
1,1.12121,2,1.78904
1,1.13131,1,1.79496
1,1.13131,2,1.79079
1,1.14141,1,1.78579
1,1.14141,2,1.78939
1,1.15152,1,1.79328
1,1.15152,2,1.79038
1,1.16162,1,1.78896
1,1.16162,2,1.78968
1,1.17172,1,1.79104
1,1.17172,2,1.78557
1,1.18182,1,1.78445
1,1.18182,2,1.79152
1,1.19192,1,1.79213
1,1.19192,2,1.78691
1,1.20202,1,1.78652
1,1.20202,2,1.78997
1,1.21212,1,1.78452
1,1.21212,2,1.7853
1,1.22222,1,1.78666
1,1.22222,2,1.77888
1,1.23232,1,1.78678
1,1.23232,2,1.78186
1,1.24242,1,1.78127
1,1.24242,2,1.78408
1,1.25253,1,1.78467
1,1.25253,2,1.77526
1,1.26263,1,1.77864
1,1.26263,2,1.78468
1,1.27273,1,1.78127
1,1.27273,2,1.7842
1,1.28283,1,1.77984
1,1.28283,2,1.77801
1,1.29293,1,1.77948
1,1.29293,2,1.7815
1,1.30303,1,1.78095
1,1.30303,2,1.78342
1,1.31313,1,1.77795
1,1.31313,2,1.78215
1,1.32323,1,1.78105
1,1.32323,2,1.77542
1,1.33333,1,1.78388
1,1.33333,2,1.78109
1,1.34343,1,1.78122
1,1.34343,2,1.77815
1,1.35354,1,1.77926
1,1.35354,2,1.78104
1,1.36364,1,1.77674
1,1.36364,2,1.77944
1,1.37374,1,1.77652
1,1.37374,2,1.77708
1,1.38384,1,1.77937
1,1.38384,2,1.77435
1,1.39394,1,1.77949
1,1.39394,2,1.77988
1,1.40404,1,1.77414
1,1.40404,2,1.77935
1,1.41414,1,1.77883
1,1.41414,2,1.77941
1,1.42424,1,1.77769
1,1.42424,2,1.78184
1,1.43434,1,1.77861
1,1.43434,2,1.78142
1,1.44444,1,1.77521
1,1.44444,2,1.77628
1,1.45455,1,1.77739
1,1.45455,2,1.77314
1,1.46465,1,1.77264
1,1.46465,2,1.77029
1,1.47475,1,1.77096
1,1.47475,2,1.77636
1,1.48485,1,1.77479
1,1.48485,2,1.77304
1,1.49495,1,1.77096
1,1.49495,2,1.77071
1,1.50505,1,1.76222
1,1.50505,2,1.76967
1,1.51515,1,1.76669
1,1.51515,2,1.76377
1,1.52525,1,1.77733
1,1.52525,2,1.76864
1,1.53535,1,1.77531
1,1.53535,2,1.76315
1,1.54545,1,1.77272
1,1.54545,2,1.76186
1,1.55556,1,1.76633
1,1.55556,2,1.76293
1,1.56566,1,1.7605
1,1.56566,2,1.76926
1,1.57576,1,1.77093
1,1.57576,2,1.76721
1,1.58586,1,1.76948
1,1.58586,2,1.77009
1,1.59596,1,1.76491
1,1.59596,2,1.76626
1,1.60606,1,1.76472
1,1.60606,2,1.76148
1,1.61616,1,1.7543
1,1.61616,2,1.76447
1,1.62626,1,1.76244
1,1.62626,2,1.77308
1,1.63636,1,1.75983
1,1.63636,2,1.75162
1,1.64646,1,1.75833
1,1.64646,2,1.76258
1,1.65657,1,1.75767
1,1.65657,2,1.76166
1,1.66667,1,1.75924
1,1.66667,2,1.74579
1,1.67677,1,1.75729
1,1.67677,2,1.74878
1,1.68687,1,1.73892
1,1.68687,2,1.75831
1,1.69697,1,1.75857
1,1.69697,2,1.75087
1,1.70707,1,1.74996
1,1.70707,2,1.75171
1,1.71717,1,1.75732
1,1.71717,2,1.74213
1,1.72727,1,1.74724
1,1.72727,2,1.74683
1,1.73737,1,1.73356
1,1.73737,2,1.74979
1,1.74747,1,1.75106
1,1.74747,2,1.74951
1,1.75758,1,1.73541
1,1.75758,2,1.73757
1,1.76768,1,1.7441
1,1.76768,2,1.74109
1,1.77778,1,1.74635
1,1.77778,2,1.74935
1,1.78788,1,1.74473
1,1.78788,2,1.75403
1,1.79798,1,1.74907
1,1.79798,2,1.74211
1,1.80808,1,1.73825
1,1.80808,2,1.74592
1,1.81818,1,1.74381
1,1.81818,2,1.74221
1,1.82828,1,1.72937
1,1.82828,2,1.73495
1,1.83838,1,1.73542
1,1.83838,2,1.73996
1,1.84848,1,1.73891
1,1.84848,2,1.74958
1,1.85859,1,1.7451
1,1.85859,2,1.7412
1,1.86869,1,1.73501
1,1.86869,2,1.73809
1,1.87879,1,1.7327
1,1.87879,2,1.73382
1,1.88889,1,1.71954
1,1.88889,2,1.75163
1,1.89899,1,1.74119
1,1.89899,2,1.71991
1,1.90909,1,1.74567
1,1.90909,2,1.72966
1,1.91919,1,1.73541
1,1.91919,2,1.73074
1,1.92929,1,1.75178
1,1.92929,2,1.72462
1,1.93939,1,1.73971
1,1.93939,2,1.725
1,1.94949,1,1.72346
1,1.94949,2,1.74777
1,1.9596,1,1.73371
1,1.9596,2,1.73335
1,1.9697,1,1.73472
1,1.9697,2,1.7294
1,1.9798,1,1.73408
1,1.9798,2,1.73082
1,1.9899,1,1.73596
1,1.9899,2,1.72921
1,2,1,1.74225
1,2,2,1.73643
